Instruction,Type,Opcode,Funct3,Funct7,BitConstraint,Action1,Action2,DisplayFormat,IsBranch,IsIndirectJump,MemoryAccessFunction,ALUFunction,ValCFunction,PositiveOptionPC,NegativeOptionPC,EStagePeriod,dstE,dstM,M_valE_Source
or,R,0x33,0x6,0x00,,"t1, t2:=r.Load(rs1), r.Load(rs2); r.Store(rd, t1 | t2);",*pc += 4;,DSS,FALSE,FALSE,,output=t1|t2,,return pc+4,return 0,,Rd,,e_valE
rem,R,0x33,0x6,0x01,,"t1, t2:=int64(r.Load(rs1)), int64(r.Load(rs2)); if t2==0 {r.Store(rd, uint64(t1))} else if t1==-(1<<(XLEN-1)) && t2==-1 {r.Store(rd, 0)} else {r.Store(rd, uint64(t1 % t2))}",*pc += 4;,DSS,FALSE,FALSE,,if t2==0 {output=t1} else if int64(t1)==-(1<<(XLEN-1)) && int64(t2)==-1 {output=0} else {output=uint64(int64(t1)%int64(t2))},,return pc+4,return 0,1,Rd,,e_valE
and,R,0x33,0x7,0x00,,"t1, t2:=r.Load(rs1), r.Load(rs2); r.Store(rd, t1 & t2);",*pc += 4;,DSS,FALSE,FALSE,,output=t1&t2,,return pc+4,return 0,,Rd,,e_valE
lb,I,0x03,0x0,,,"t1:=r.Load(rs1); temp,_ :=m.LoadU8(t1 + bit_utils.SignExtU64(imm)); v:= uint64(int64(int8(temp))); r.Store(rd, v);",*pc += 4;,DIS,FALSE,FALSE,"temp, time := m.LoadU8(addr); output=uint64(int64(int8(temp)))",output=t1 + bit_utils.SignExtU64(Imm),,return pc+4,return 0,,,Rd,e_valE
lh,I,0x03,0x1,,,"t1:=r.Load(rs1); temp,_ :=m.LoadU16(t1 + bit_utils.SignExtU64(imm)); v:= uint64(int64(int16(temp))); r.Store(rd, v);",*pc += 4;,DIS,FALSE,FALSE,"temp, time := m.LoadU16(addr); output=uint64(int64(int16(temp)))",output=t1 + bit_utils.SignExtU64(Imm),,return pc+4,return 0,,,Rd,e_valE
lw,I,0x03,0x2,,,"t1:=r.Load(rs1); temp,_ :=m.LoadU32(t1 + bit_utils.SignExtU64(imm)); v:= uint64(int64(int32(temp))); r.Store(rd, v);",*pc += 4;,DIS,FALSE,FALSE,"temp, time := m.LoadU32(addr); output=uint64(int64(int32(temp)))",output=t1 + bit_utils.SignExtU64(Imm),,return pc+4,return 0,,,Rd,e_valE
ld,I,0x03,0x3,,,"t1:=r.Load(rs1); temp,_ :=m.LoadU64(t1 + bit_utils.SignExtU64(imm)); v:= uint64(int64(temp)); r.Store(rd, v);",*pc += 4;,DIS,FALSE,FALSE,"temp, time := m.LoadU64(addr); output=uint64(int64(temp))",output=t1 + bit_utils.SignExtU64(Imm),,return pc+4,return 0,,,Rd,e_valE
lwu,I,0x03,0b110,,,"t1:=r.Load(rs1); temp,_ :=m.LoadU32(t1 + bit_utils.UnSignExtU64(imm)); v:= uint64(temp); r.Store(rd, v);",*pc += 4,DIS,FALSE,FALSE,"temp, time := m.LoadU32(addr); output=uint64(temp)",output=t1 + bit_utils.UnSignExtU64(Imm),,return pc+4,return 0,,,Rd,e_valE
addi,I,0x13,0x0,,,"t1:=r.Load(rs1); r.Store(rd, t1 + bit_utils.SignExtU64(imm));",*pc += 4;,DSI,FALSE,FALSE,,output=t1 + bit_utils.SignExtU64(Imm),,return pc+4,return 0,,Rd,,e_valE
slli,I,0x13,0x1,,"[3]uint32{26, 31, 0}","t1:=r.Load(rs1); r.Store(rd, t1 << bit_utils.U32Bits(uint32(imm), 0, 5))",*pc += 4;,DSI,FALSE,FALSE,,"output=t1 << bit_utils.U32Bits(uint32(Imm), 0, 5)",,return pc+4,return 0,,Rd,,e_valE
slti,I,0x13,0x2,,,"t1:=int64(r.Load(rs1)); if t1 < int64(imm) { r.Store(rd, 1)} else {r.Store(rd,0)} ",*pc += 4;,DSI,FALSE,FALSE,,if int64(t1)<int64(Imm){output=1}else{output=0},,return pc+4,return 0,,Rd,,e_valE
xori,I,0x13,0x4,,,"t1:=r.Load(rs1); r.Store(rd, t1 ^ bit_utils.SignExtU64(imm));",*pc += 4;,DSI,FALSE,FALSE,,output=t1 ^ bit_utils.SignExtU64(Imm),,return pc+4,return 0,,Rd,,e_valE
srli,I,0x13,0x5,,"[3]uint32{26, 31, 0}","t1:=r.Load(rs1); r.Store(rd, t1 >> bit_utils.U32Bits(uint32(imm), 0, 5))",*pc += 4;,DSI,FALSE,FALSE,,"output=t1 >> bit_utils.U32Bits(uint32(Imm), 0, 5)",,return pc+4,return 0,,Rd,,e_valE
srai,I,0x13,0x5,,"[3]uint32{26, 31, 0x10}","t1:=int64(r.Load(rs1)); r.Store(rd, uint64(t1 >>bit_utils.U32Bits(uint32(imm), 0, 5)))",*pc += 4;,DSI,FALSE,FALSE,,"output=uint64(int64(t1) >>bit_utils.U32Bits(uint32(Imm), 0, 5))",,return pc+4,return 0,,Rd,,e_valE
ori,I,0x13,0x6,,,"t1:=r.Load(rs1); r.Store(rd, t1 | bit_utils.SignExtU64(imm));",*pc += 4;,DSI,FALSE,FALSE,,output=t1 | bit_utils.SignExtU64(Imm),,return pc+4,return 0,,Rd,,e_valE
andi,I,0x13,0x7,,,"t1:=r.Load(rs1); r.Store(rd, t1 & bit_utils.SignExtU64(imm));",*pc += 4;,DSI,FALSE,FALSE,,output=t1 & bit_utils.SignExtU64(Imm),,return pc+4,return 0,,Rd,,e_valE
addiw,I,0x1B,0x0,,,"t1:=r.Load(rs1); r.Store(rd, bit_utils.SignExtU64(int32(t1) + imm))",*pc += 4;,DSI,FALSE,FALSE,,output=bit_utils.SignExtU64(int32(t1) + Imm),,return pc+4,return 0,,Rd,,e_valE
slliw,I,0b0011011,0b001,,"[3]uint32{25, 31, 0x0}","t1:=uint32(r.Load(rs1)); r.Store(rd, bit_utils.SignExtU64(int32(t1 << bit_utils.U32Bits(uint32(imm), 0, 4))))",*pc += 4;,DSI,FALSE,FALSE,,"output=bit_utils.SignExtU64(int32(uint32(t1) << bit_utils.U32Bits(uint32(Imm), 0, 4)))",,return pc+4,return 0,,Rd,,e_valE
srliw,I,0b0011011,0b101,,"[3]uint32{25, 31, 0x0}","t1:=uint32(r.Load(rs1)); r.Store(rd, bit_utils.SignExtU64(int32(t1 >> bit_utils.U32Bits(uint32(imm), 0, 4))))",*pc += 4;,DSI,FALSE,FALSE,,"output=bit_utils.SignExtU64(int32(uint32(t1) >> bit_utils.U32Bits(uint32(Imm), 0, 4)))",,return pc+4,return 0,,Rd,,e_valE
sraiw,I,0b0011011,0b101,,"[3]uint32{25, 31, 0b0100000}","t1:=int32(r.Load(rs1)); r.Store(rd, bit_utils.SignExtU64(t1 >> bit_utils.U32Bits(uint32(imm), 0, 4)))",*pc += 4;,DSI,FALSE,FALSE,,"output= bit_utils.SignExtU64(int32(t1) >> bit_utils.U32Bits(uint32(Imm), 0, 4))",,return pc+4,return 0,,Rd,,e_valE
addw,R,0b0111011,0b000,0b0000000,,"t1, t2:=r.Load(rs1), r.Load(rs2); r.Store(rd, bit_utils.SignExtU64(int32(t1)+int32(t2)))",*pc += 4;,DSS,FALSE,FALSE,,output=bit_utils.SignExtU64(int32(t1)+int32(t2)),,return pc+4,return 0,,Rd,,e_valE
subw,R,0b0111011,0b000,0b0100000,,"t1, t2:=r.Load(rs1), r.Load(rs2); r.Store(rd, bit_utils.SignExtU64(int32(t1)-int32(t2)))",*pc += 4;,DSS,FALSE,FALSE,,output=bit_utils.SignExtU64(int32(t1)-int32(t2)),,return pc+4,return 0,,Rd,,e_valE
sllw,R,0b0111011,0b001,0b0000000,,"t1, t2:=uint32(r.Load(rs1)), r.Load(rs2); shamt:=bit_utils.U32Bits(uint32(t2), 0, 4); r.Store(rd, bit_utils.SignExtU64(int32(t1<<shamt)))",*pc += 4;,DSS,FALSE,FALSE,,"shamt:=bit_utils.U32Bits(uint32(t2), 0, 4); output=bit_utils.SignExtU64(int32(uint32(t1)<<shamt))",,return pc+4,return 0,,Rd,,e_valE
srlw,R,0b0111011,0b101,0b0000000,,"t1, t2:=uint32(r.Load(rs1)), r.Load(rs2); shamt:=bit_utils.U32Bits(uint32(t2), 0, 4); r.Store(rd, bit_utils.SignExtU64(int32(t1>>shamt)))",*pc += 4;,DSS,FALSE,FALSE,,"shamt:=bit_utils.U32Bits(uint32(t2), 0, 4); output=bit_utils.SignExtU64(int32(uint32(t1)>>shamt))",,return pc+4,return 0,,Rd,,e_valE
sraw,R,0b0111011,0b101,0b0100000,,"t1, t2:=int32(r.Load(rs1)), r.Load(rs2); shamt:=bit_utils.U32Bits(uint32(t2), 0, 4); r.Store(rd, bit_utils.SignExtU64(t1>>shamt))",*pc += 4;,DSS,FALSE,FALSE,,"shamt:=bit_utils.U32Bits(uint32(t2), 0, 4); output=bit_utils.SignExtU64(int32(t1)>>shamt)",,return pc+4,return 0,,Rd,,e_valE
jalr,I,0x67,0x0,,,"t1:=r.Load(rs1); r.Store(rd, *pc + 4)","*pc = bit_utils.SetBit(t1 + bit_utils.SignExtU64(imm), 0, 0);",DSI,FALSE,TRUE,,"output=bit_utils.SetBit(t1 + bit_utils.SignExtU64(Imm), 0, 0)",valC=pc+4,return 0,return 0,,Rd,,valC
sb,S,0x23,0x0,,,"t1,t2:=r.Load(rs1),r.Load(rs2);addr:=t1+bit_utils.SignExtU64(imm); m.StoreU8(addr, uint8(t2));",*pc += 4;,SIS,FALSE,FALSE,"m.StoreU8(addr, uint8(input))",output=t1+bit_utils.SignExtU64(Imm),,return pc+4,return 0,,,,e_valE
sh,S,0x23,0x1,,,"t1,t2:=r.Load(rs1),r.Load(rs2);addr:=t1+bit_utils.SignExtU64(imm); m.StoreU16(addr, uint16(t2));",*pc += 4;,SIS,FALSE,FALSE,"m.StoreU16(addr, uint16(input))",output=t1+bit_utils.SignExtU64(Imm),,return pc+4,return 0,,,,e_valE
sw,S,0x23,0x2,,,"t1,t2:=r.Load(rs1),r.Load(rs2);addr:=t1+bit_utils.SignExtU64(imm); m.StoreU32(addr, uint32(t2));",*pc += 4;,SIS,FALSE,FALSE,"m.StoreU32(addr, uint32(input))",output=t1+bit_utils.SignExtU64(Imm),,return pc+4,return 0,,,,e_valE
sd,S,0x23,0x3,,,"t1,t2:=r.Load(rs1),r.Load(rs2);addr:=t1+bit_utils.SignExtU64(imm); m.StoreU64(addr, t2);",*pc += 4;,SIS,FALSE,FALSE,"m.StoreU64(addr, input)",output=t1+bit_utils.SignExtU64(Imm),,return pc+4,return 0,,,,e_valE
beq,B,0x63,0x0,,,"t1, t2:=r.Load(rs1), r.Load(rs2)",if t1==t2 {*pc+= bit_utils.SignExtU64(imm)} else {*pc += 4},SSI,TRUE,FALSE,,isPredictError=!(t1==t2),,return pc+bit_utils.SignExtU64(Imm),return pc+4,,,,e_valE
bne,B,0x63,0x1,,,"t1, t2:=r.Load(rs1), r.Load(rs2)",if t1!=t2 {*pc+= bit_utils.SignExtU64(imm)} else {*pc += 4},SSI,TRUE,FALSE,,isPredictError=!(t1!=t2),,return pc+bit_utils.SignExtU64(Imm),return pc+4,,,,e_valE
blt,B,0x63,0x4,,,"t1, t2:=int64(r.Load(rs1)), int64(r.Load(rs2));",if t1<t2 {*pc+= bit_utils.SignExtU64(imm)} else {*pc += 4},SSI,TRUE,FALSE,,isPredictError=!(int64(t1)<int64(t2)),,return pc+bit_utils.SignExtU64(Imm),return pc+4,,,,e_valE
bge,B,0x63,0x5,,,"t1, t2:=int64(r.Load(rs1)), int64(r.Load(rs2));",if t1>=t2 {*pc+= bit_utils.SignExtU64(imm)} else {*pc += 4},SSI,TRUE,FALSE,,isPredictError=!(int64(t1)>=int64(t2)),,return pc+bit_utils.SignExtU64(Imm),return pc+4,,,,e_valE
auipc,U,0x17,,,,"r.Store(rd, *pc + bit_utils.SignExtU64(imm))",*pc += 4;,DI,FALSE,FALSE,,output=ValC,valC=pc + bit_utils.SignExtU64(Imm),return pc+4,return 0,,Rd,,e_valE
lui,U,0x37,,,,"r.Store(rd, bit_utils.SignExtU64(imm));",*pc += 4;,DI,FALSE,FALSE,,output=ValC,valC=bit_utils.SignExtU64(Imm),return pc+4,return 0,,Rd,,e_valE
jal,J,0x6f,,,,"r.Store(rd, *pc + 4);",*pc += bit_utils.SignExtU64(imm),DI,FALSE,FALSE,,output=ValC,valC=pc+4,return pc+bit_utils.SignExtU64(Imm),return 0,,Rd,,e_valE
mulhsu,R,0b0110011,0b010,0b0000001,,"t1, t2:=r.Load(rs1), r.Load(rs2); hi,_:=bit_utils.MulI64U64(int64(t1),t2); r.Store(rd, uint64(hi));",*pc += 4,DSS,FALSE,FALSE,,"hi,_:=bit_utils.MulI64U64(int64(t1),t2); output=uint64(hi)",,return pc+4,return 0,,Rd,,e_valE
mulhu,R,0b0110011,0b011,0b0000001,,"t1, t2:=r.Load(rs1), r.Load(rs2); hi,_:=bits.Mul64(t1,t2); r.Store(rd, hi);",*pc += 4,DSS,FALSE,FALSE,,"hi,_:=bits.Mul64(t1,t2); output=hi",,return pc+4,return 0,,Rd,,e_valE
divu,R,0b0110011,0b100,0b0000001,,"t1, t2:=r.Load(rs1), r.Load(rs2); r.Store(rd, t1 / t2)",*pc += 4,DSS,FALSE,FALSE,,output=t1/t2,,return pc+4,return 0,1,Rd,,e_valE
remu,R,0b0110011,0b111,0b0000001,,"t1, t2:=r.Load(rs1), r.Load(rs2); r.Store(rd, t1 % t2)",*pc += 4,DSS,FALSE,FALSE,,output=t1%t2,,return pc+4,return 0,1,Rd,,e_valE
mulw,R,0b0111011,0b000,0b0000001,,"t1, t2:=int32(r.Load(rs1)), int32(r.Load(rs2)); r.Store(rd, bit_utils.SignExtU64(t1 * t2))",*pc += 4,DSS,FALSE,FALSE,,output=bit_utils.SignExtU64(int32(t1) * int32(t2)),,return pc+4,return 0,,Rd,,e_valE
divw,R,0b0111011,0b100,0b0000001,,"t1, t2:=int32(r.Load(rs1)), int32(r.Load(rs2)); r.Store(rd, bit_utils.SignExtU64(t1 / t2))",*pc += 4,DSS,FALSE,FALSE,,output=bit_utils.SignExtU64(int32(t1) / int32(t2)),,return pc+4,return 0,1,Rd,,e_valE
divuw,R,0b0111011,0b101,0b0000001,,"t1, t2:=uint32(r.Load(rs1)), uint32(r.Load(rs2)); r.Store(rd, bit_utils.SignExtU64(int32(t1 / t2)))",*pc += 4,DSS,FALSE,FALSE,,output=bit_utils.SignExtU64(int32(uint32(t1) / uint32(t2))),,return pc+4,return 0,1,Rd,,e_valE
remw,R,0b0111011,0b110,0b0000001,,"t1, t2:=int32(r.Load(rs1)), int32(r.Load(rs2)); r.Store(rd, bit_utils.SignExtU64(t1 % t2))",*pc += 4,DSS,FALSE,FALSE,,output=bit_utils.SignExtU64(int32(t1) / int32(t2)),,return pc+4,return 0,1,Rd,,e_valE
remuw,R,0b0111011,0b111,0b0000001,,"t1, t2:=uint32(r.Load(rs1)), uint32(r.Load(rs2)); r.Store(rd, bit_utils.SignExtU64(int32(t1 % t2)))",*pc += 4,DSS,FALSE,FALSE,,output=bit_utils.SignExtU64(int32(uint32(t1) % uint32(t2))),,return pc+4,return 0,1,Rd,,e_valE
